Geography,Your estimated revenue (USD),Watch time (hours),Views,Average view duration
Total,25.413,411.9396,30213,0:00:49
US,9.354,71.2204,2297,0:01:51
MX,0.826,44.4197,4570,0:00:34
IT,0.999,20.3548,3207,0:00:22
FR,0.864,14.2832,980,0:00:52
KR,0.636,13.7721,975,0:00:50
CZ,0.593,12.4703,1059,0:00:42
ES,0.57,12.0281,1685,0:00:25
CA,1.06,11.4495,809,0:00:50
GB,1.587,11.2994,936,0:00:43
SE,0.707,10.4125,960,0:00:39
CH,1.634,9.0764,761,0:00:42
AU,0.852,8.7639,508,0:01:02
DE,0.666,8.6009,831,0:00:37
SG,0.481,7.6296,474,0:00:57
IL,0.301,7.0449,660,0:00:38
PH,0.052,5.9488,198,0:01:48
PT,0.324,5.7594,1232,0:00:16
AT,0.605,5.1025,785,0:00:23
NL,0.425,4.2666,547,0:00:28
ID,0.039,4.2374,138,0:01:50
HK,0.226,3.9468,399,0:00:35
BR,0.111,3.5091,119,0:01:46
IN,0.782,2.5667,130,0:01:11
BE,0.199,2.5552,351,0:00:26
DK,0.275,2.1168,167,0:00:45
MY,0.04,1.9273,56,0:02:03
NO,0.135,1.6892,115,0:00:52
BG,0.029,1.1737,37,0:01:54
JP,0.104,1.1239,42,0:01:36
IE,0.321,1.0901,206,0:00:19
TH,0.104,0.9767,26,0:02:15
IS,0.014,0.874,41,0:01:16
LU,0.014,0.8732,45,0:01:09
PL,0.017,0.8454,22,0:02:18
GT,0,0.5083,11,0:02:46
FI,0.081,0.361,32,0:00:40
NZ,0.048,0.3466,45,0:00:27
BF,0,0.035,10,0:00:12
AE,0.013,0,0,
AR,0.018,0,0,
BA,0.001,0,0,
CL,0.011,0,0,
CO,0.028,0,0,
CY,0.015,0,0,
DZ,0.001,0,0,
EC,0.001,0,0,
EE,0,0,0,
EG,0.004,0,0,
GE,0.014,0,0,
GH,0.003,0,0,
GR,0.004,0,0,
HR,0.006,0,0,
HU,0.011,0,0,
IQ,0.002,0,0,
JO,0.007,0,0,
KE,0.002,0,0,
KW,0.003,0,0,
LK,0,0,0,
LT,0,0,0,
LV,0.001,0,0,
MA,0.008,0,0,
MK,0,0,0,
NG,0.003,0,0,
NI,0.001,0,0,
OM,0.003,0,0,
PA,0.003,0,0,
PE,0.023,0,0,
PK,0.001,0,0,
PR,0.004,0,0,
PY,0.003,0,0,
QA,0,0,0,
RO,0.028,0,0,
RS,0.001,0,0,
RU,0.015,0,0,
SA,0.001,0,0,
SI,0.001,0,0,
SK,0.002,0,0,
TR,0.054,0,0,
TW,0.014,0,0,
UA,0.005,0,0,
VN,0.004,0,0,
ZA,0.018,0,0,
